version,contrast,n_participants,dz_calibrated,trials_per_cell,n_sims,power_analytic,power_two_stage_sim,power_mixed_sim,mc_se,n_nonconverged,sd_slope,beta_trial,statsmodels_version,seed,calibration_note
2.4,C1a_compatible_vs_incompatible_at_count3,120,0.3,64,200,0.9032,0.935,0.935,0.0212,0,0.2961,0.1,0.14.6,20260924,"calibrated at the planning floor of 64 usable session-2 no-report trials per analysis cell (expected count in the three-block single C1a cells: 99.45; in the pooled count3@1 cell: 198.90); a convergence check on the analytic value, not an independent estimate"
2.4,C0_threshold_count1_vs_ge2,120,0.3,64,200,0.9032,0.9,0.9,0.0212,0,0.2961,0.1,0.14.6,20260925,"calibrated at the planning floor of 64 usable session-2 no-report trials per analysis cell (expected count in the three-block single C1a cells: 99.45; in the pooled count3@1 cell: 198.90); a convergence check on the analytic value, not an independent estimate"
