version,study,cell_grouping,n_cells,presentation_cells_pooled_per_cell,usable_target_per_cell,probe_fraction,loss_rate,presented_session2_per_cell_raw_min,presented_session2_per_cell,probe_trials_session2_per_cell,noprobe_trials_session2_per_cell,usable_session2_per_cell_expected,presented_session1_per_cell,presented_both_sessions_per_cell,presented_session2_total,presented_session1_total,presented_both_sessions_total,usable_session2_total_expected,trial_seconds,block_trials,break_minutes,n_blocks_session2,break_minutes_session2_total,session2_minutes,n_blocks_session1,session1_minutes,v20_presented_per_cell_both_sessions_pooled
2.1,1,"presentation cells, effector-balanced (this is the budget that is run)",11,1,64,0.25,0.15,100.39,104,26,78,66.3,104,208,1144,1144,2288,729.3,6.0,104,2.0,11,20.0,134.4,11,134.4,102
2.1,1,"analysis cells if run unpooled (count1@0, count2@0, count3@0, count3@1, count3@3)",5,1,64,0.25,0.15,100.39,104,26,78,66.3,104,208,520,520,1040,331.5,6.0,104,2.0,5,8.0,60.0,5,60.0,102
2.1,1,analysis cell count1@0 (pools 3 presentation cells),1,3,64,0.25,0.15,301.18,312,78,234,198.9,312,624,312,312,624,198.9,6.0,104,2.0,3,4.0,35.2,3,35.2,102
2.1,1,analysis cell count2@0 (pools 3 presentation cells),1,3,64,0.25,0.15,301.18,312,78,234,198.9,312,624,312,312,624,198.9,6.0,104,2.0,3,4.0,35.2,3,35.2,102
2.1,1,analysis cell count3@0 (pools 1 presentation cell),1,1,64,0.25,0.15,100.39,104,26,78,66.3,104,208,104,104,208,66.3,6.0,104,2.0,1,0.0,10.4,1,10.4,102
2.1,1,analysis cell count3@1 (pools 3 presentation cells),1,3,64,0.25,0.15,301.18,312,78,234,198.9,312,624,312,312,624,198.9,6.0,104,2.0,3,4.0,35.2,3,35.2,102
2.1,1,analysis cell count3@3 (pools 1 presentation cell),1,1,64,0.25,0.15,100.39,104,26,78,66.3,104,208,104,104,208,66.3,6.0,104,2.0,1,0.0,10.4,1,10.4,102
2.1,2,valence (3) x shared pairs (3) at count 3 [assumed],9,1,64,0.25,0.15,100.39,104,26,78,66.3,104,208,936,936,1872,596.7,6.0,104,2.0,9,16.0,109.6,9,109.6,102
